"title","artist","album","source_count","sources"
"songs for women","frank ocean","nostalgia/ultra","3","Tralalelo Tralala; Frank Ocean - nostalgia, ULTRA; na klar"
"DHL","Frank Ocean","DHL","3","frank and chill; Tralalelo Tralala; Frank Montell"
"Facebook Story","Frank Ocean","Blonde","3","Liked Songs; frank and chill; Tralalelo Tralala"
"Lens","Frank Ocean","Lens","3","Liked Songs; frank and chill; Tralalelo Tralala"
"Monks","Frank Ocean","channel ORANGE (Explicit Version)","3","frank and chill; Tralalelo Tralala; Frank Montell"
"Pilot Jones","Frank Ocean","channel ORANGE (Explicit Version)","3","frank and chill; Tralalelo Tralala; Frank Montell"
"Provider","Frank Ocean","Provider","3","Liked Songs; frank and chill; Tralalelo Tralala"
"Solo (Reprise)","Frank Ocean","Blonde","3","Liked Songs; frank and chill; Tralalelo Tralala"
"Biking","Frank Ocean, JAŸ-Z, Tyler, The Creator","Biking","3","frank and chill; Tralalelo Tralala; Frank Montell"
"We Are Young (feat. Janelle Monáe)","fun., Janelle Monáe","Some Nights","3","Liked Songs; less goo; Tunes"
"Wildfire (feat. Frank Ocean)","John Mayer, Frank Ocean","Paradise Valley","3","Liked Songs; Tralalelo Tralala; Na ja.."
"Give U More","Miles Carter, Montell Fish, Lord's Child","Give U More","3","Liked Songs; Frank Montell; Montell"
"I Just Wanna Feel Your Love Again","Montell Fish","I Just Wanna Feel Your Love Again","3","Liked Songs; Frank Montell; Montell"
"Last Dance","Montell Fish","JAMIE","3","Frank Montell; Na ja..; Montell"
"Wings","Montell Fish","Wings","3","Liked Songs; Frank Montell; Montell"
"Purity (feat. Frank Ocean)","A$AP Rocky, Frank Ocean","TESTING","2","Liked Songs; Tralalelo Tralala"
"Slide (feat. Frank Ocean & Migos)","Calvin Harris, Frank Ocean, Migos","Slide (feat. Frank Ocean & Migos)","2","Liked Songs; Tralalelo Tralala"
"I Know I Failed You","dj gummy bear, Montell Fish","I Know I Failed You","2","Liked Songs; Montell"
"bitches talkin'","frank ocean","nostalgia/ultra","2","Tralalelo Tralala; Frank Ocean - nostalgia, ULTRA"
"dust","frank ocean","nostalgia/ultra","2","Tralalelo Tralala; Frank Ocean - nostalgia, ULTRA"
"goldeneye","frank ocean","nostalgia/ultra","2","Tralalelo Tralala; Frank Ocean - nostalgia, ULTRA"
"lovecrimes","frank ocean","nostalgia/ultra","2","Tralalelo Tralala; Frank Ocean - nostalgia, ULTRA"
"nature feels","frank ocean","nostalgia/ultra","2","Tralalelo Tralala; Frank Ocean - nostalgia, ULTRA"
"soul calibur","frank ocean","nostalgia/ultra","2","Tralalelo Tralala; Frank Ocean - nostalgia, ULTRA"
"strawberry swing","frank ocean","nostalgia/ultra","2","Tralalelo Tralala; Frank Ocean - nostalgia, ULTRA"
"street fighter","frank ocean","nostalgia/ultra","2","Tralalelo Tralala; Frank Ocean - nostalgia, ULTRA"
"there will be tears","frank ocean","nostalgia/ultra","2","Tralalelo Tralala; Frank Ocean - nostalgia, ULTRA"
"we all try","frank ocean","nostalgia/ultra","2","Tralalelo Tralala; Frank Ocean - nostalgia, ULTRA"
"A Certain Way","Frank Ocean","Endless","2","Tralalelo Tralala; Frank Ocean - Endless"
"Alabama","Frank Ocean","Endless","2","Tralalelo Tralala; Frank Ocean - Endless"
"At Your Best (You Are Love)","Frank Ocean","Endless","2","Tralalelo Tralala; Frank Ocean - Endless"
"Biking (Solo)","Frank Ocean","Biking (Solo)","2","Liked Songs; Tralalelo Tralala"
"Cayendo (Side A - Acoustic)","Frank Ocean","Cayendo (Side A - Acoustic)","2","frank and chill; Tralalelo Tralala"
"Comme Des Garçons","Frank Ocean","Endless","2","Tralalelo Tralala; Frank Ocean - Endless"
"Higgs","Frank Ocean","Endless","2","Tralalelo Tralala; Frank Ocean - Endless"
"Honeybaby","Frank Ocean","Endless","2","Tralalelo Tralala; Frank Ocean - Endless"
"Impietas + Deathwish","Frank Ocean","Endless","2","Tralalelo Tralala; Frank Ocean - Endless"
"In Here Somewhere","Frank Ocean","Endless","2","Tralalelo Tralala; Frank Ocean - Endless"
"Mine","Frank Ocean","Endless","2","Tralalelo Tralala; Frank Ocean - Endless"
"Rushes To","Frank Ocean","Endless","2","Tralalelo Tralala; Frank Ocean - Endless"
"Slide On Me","Frank Ocean","Endless","2","Tralalelo Tralala; Frank Ocean - Endless"
"Unity","Frank Ocean","Endless","2","Tralalelo Tralala; Frank Ocean - Endless"
"Xennons","Frank Ocean","Endless","2","Tralalelo Tralala; Frank Ocean - Endless"
"The Dead Flag Blues","Godspeed You! Black Emperor","F♯ A♯ ∞","2","Liked Songs; GoDayumn"
"Oceans","JAŸ-Z, Frank Ocean","Magna Carta... Holy Grail","2","Liked Songs; Tralalelo Tralala"
"No Church In The Wild","JAŸ-Z, Kanye West, Frank Ocean, THE-DREAM","Watch The Throne","2","Tralalelo Tralala; Gym"
"6:16am","Lord's Child, Montell Fish","Nights & Days.","2","Frank Montell; Montell"
"All I Need","Lord's Child, Montell Fish","Nights & Days.","2","Frank Montell; Montell"
