"title","artist","album","source_count","sources"
"Street Lights","Kanye West","808s & Heartbreak","4","Liked Songs; Kanye ye; K¥_00; Tunes"
"The Glory","Kanye West","Graduation","4","Liked Songs; Kanye ye; K¥_00; Tunes"
"Lost In The World","Kanye West, Bon Iver","My Beautiful Dark Twisted Fantasy","4","Liked Songs; Kanye ye; K¥_00; Tunes"
"Flashing Lights","Kanye West, Dwele","Graduation","4","Liked Songs; Kanye ye; K¥_00; Tunes"
"Spaceship","Kanye West, GLC, Consequence","The College Dropout","4","Liked Songs; Kanye ye; K¥_00; Tunes"
"Good Night","Kanye West, Mos Def, Albe Back","Graduation","4","Liked Songs; Kanye ye; K¥_00; Tunes"
"We Major","Kanye West, Nas, Really Doe","Late Registration","4","Liked Songs; Kanye ye; K¥_00; Tunes"
"Only One","Kanye West, Paul McCartney","Only One","4","Liked Songs; Kanye ye; K¥_00; Na ja.."
"Devil In A New Dress","Kanye West, Rick Ross","My Beautiful Dark Twisted Fantasy","4","Liked Songs; Kanye ye; K¥_00; Tunes"
"All Falls Down","Kanye West, Syleena Johnson","The College Dropout","4","Liked Songs; Kanye ye; K¥_00; Tunes"
"CARNIVAL","Kanye West, Ty Dolla $ign","VULTURES 1","4","Liked Songs; Kanye ye; K¥_00; Tunes"
"GOOD (DON'T DIE)","Kanye West, Ty Dolla $ign","VULTURES 1","4","Liked Songs; Kanye ye; K¥_00; Tunes"
"KEYS TO MY LIFE","Kanye West, Ty Dolla $ign","VULTURES 1","4","Liked Songs; Kanye ye; K¥_00; Tunes"
"PROBLEMATIC","Kanye West, Ty Dolla $ign","VULTURES 1","4","Liked Songs; Kanye ye; K¥_00; Tunes"
"N95","Kendrick Lamar","Mr. Morale & The Big Steppers","4","Liked Songs; марян × talia; Tunes"
"Ain't No Mountain High Enough","Marvin Gaye, Tammi Terrell","United","4","Liked Songs; Here, There, and Everywhere... With You; for talia ordered by decreasing valence; for talia"
"CRUSH (with Travis Scott)","Playboi Carti, Travis Scott","MUSIC - SORRY 4 DA WAIT","4","Liked Songs; CBC_00; K¥_00"
"FourFiveSeconds","Rihanna, Kanye West, Paul McCartney","FourFiveSeconds","4","Liked Songs; Kanye ye; K¥_00; Tunes"
"BURN EVERYTHING","Sean Leon, Yé","HERD IMMUNITY 1.0","4","Liked Songs; Kanye ye; K¥_00; Tunes"
"Slow Jamz","Twista, Kanye West, Jamie Foxx","The College Dropout","4","Liked Songs; Kanye ye; K¥_00; Tunes"
"EARFQUAKE","Tyler, The Creator","IGOR","4","Liked Songs; m's top tracks; Gym; Tunes"
"Rah Tah Tah","Tyler, The Creator","CHROMAKOPIA","4","Liked Songs; %^*+; Fashion killa; Tunes"
"She","Tyler, The Creator, Frank Ocean","Goblin","4","Liked Songs; Tralalelo Tralala"
"911 / Mr. Lonely (feat. Frank Ocean & Steve Lacy)","Tyler, The Creator, Frank Ocean, Steve Lacy","Flower Boy","4","Liked Songs; Tralalelo Tralala; Fashion killa; Tunes"
