"title","artist","album","source_count","sources"
"Hardcore","Ken Carson","A Great Chaos","2","Liked Songs; ___"
"Jennifer’s Body","Ken Carson","A Great Chaos","2","Liked Songs; Opium"
"Lord Of Chaos","Ken Carson","More Chaos","2","Liked Songs; ___"
"Rock N Roll","Ken Carson","Project X","2","Liked Songs; ___"
"Succubus","Ken Carson","A Great Chaos","2","Liked Songs; ___"
"Singapore (feat. Destroy Lonely)","Ken Carson, Destroy Lonely","A Great Chaos","2","Liked Songs; Opium"
"All Alone","Lil Uzi Vert","Pink Tape","2","Liked Songs; Tunes"
"Flooded The Face","Lil Uzi Vert","Pink Tape","2","Liked Songs; Tunes"
"Suicide Doors","Lil Uzi Vert","Pink Tape","2","Liked Songs; Tunes"
"x2","Lil Uzi Vert","Pink Tape","2","Liked Songs; Tunes"
"XO Tour Llif3","Lil Uzi Vert","Luv Is Rage 2","2","Liked Songs; Tunes"
"Endless Fashion (feat. Nicki Minaj)","Lil Uzi Vert, Nicki Minaj","Pink Tape","2","Liked Songs; Tunes"
"The Way Life Goes (feat. Oh Wonder)","Lil Uzi Vert, Oh Wonder","Luv Is Rage 2","2","Gym; Tunes"
"Neon Guts (feat. Pharrell Williams)","Lil Uzi Vert, Pharrell Williams","Luv Is Rage 2","2","марян × talia; Tunes"
"Watch This - ARIZONATEARS Pluggnb Remix","Lil Uzi Vert, sped up nightcore, ARIZONATEARS","Watch This (ARIZONATEARS Pluggnb Remix)","2","Liked Songs; Tunes"
"Aye (feat. Travis Scott)","Lil Uzi Vert, Travis Scott","Pink Tape","2","Liked Songs; Tunes"
"Too Many Nights (feat. Don Toliver & with Future)","Metro Boomin, Future, Don Toliver","HEROES & VILLAINS","2","Gym; Tunes"
"White (feat. Frank Ocean)","Odd Future, Frank Ocean","The OF Tape Vol. 2","2","Liked Songs; Tralalelo Tralala"
"Kills","OsamaSon","Flex Musix","2","Liked Songs; Opium"
"ALL RED","Playboi Carti","ALL RED","2","Liked Songs; Opium"
